"","game_id","play_id","koe","kicker_player_id","kicker_player_name","pred_class","pred_prob","fg_made"
"4721","2003_17_STL_DET",1388,1.06239668506278,"00-0017693","J.Wilkins","TRUE",0.645867771645741,TRUE
"4722","2003_17_STL_DET",1904,0.327765166495087,"00-0017693","J.Wilkins","TRUE",0.890744944501638,TRUE
"4723","2003_17_STL_DET",2774,0.390762549244454,"32013030-2d30-3030-3638-3030809874ec","J.Hanson","TRUE",0.869745816918515,TRUE
"4724","2003_17_STL_DET",3038,0.994935012100343,"32013030-2d30-3030-3638-3030809874ec","J.Hanson","TRUE",0.668354995966552,TRUE
"4725","2003_17_TB_TEN",203,0.44658398832819,"00-0000313","G.Anderson","TRUE",0.85113867055727,TRUE
"4726","2003_17_TB_TEN",503,0.181644231354569,"00-0006223","M.Gramatica","TRUE",0.93945192288181,TRUE
"4727","2003_17_TB_TEN",1599,0.314995453914912,"00-0000313","G.Anderson","TRUE",0.895001515361696,TRUE
"4728","2003_17_TB_TEN",1925,0.724441144692672,"00-0000313","G.Anderson","TRUE",0.758519618435776,TRUE
"4729","2003_17_TB_TEN",2207,0.124320834517091,"00-0000313","G.Anderson","TRUE",0.958559721827636,TRUE
"4730","2003_17_TB_TEN",2374,0.314995453914912,"00-0006223","M.Gramatica","TRUE",0.895001515361696,TRUE
"4731","2004_01_ARI_STL",1209,0.871205524767815,"00-0017693","J.Wilkins","TRUE",0.709598158410728,TRUE
"4732","2004_01_ARI_STL",1351,0.0731856431111741,"32013030-2d30-3031-3936-373642253162","N.Rackers","TRUE",0.975604785629609,TRUE
"4733","2004_01_ARI_STL",1720,0.130603479961277,"00-0017693","J.Wilkins","TRUE",0.956465506679574,TRUE
"4734","2004_01_ARI_STL",2336,0.0731856431111741,"00-0017693","J.Wilkins","TRUE",0.975604785629609,TRUE
"4735","2004_01_ATL_SF",1759,0.11303423837398,"00-0012875","T.Peterson","TRUE",0.962321920542007,TRUE
